SPEC_ID,PROTECTED = P,UPDATED = U,GENUS,SPECIES,COUNTRY,LOCALITY,COLLECTION PLACE,DATE COLLECTED,SEX,BONE,SIDE,AGE,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,,,
USNM248777,P,U,Equus,asinus,1,300,"Grand Canyon, Az",26-May-1929,unknown,p2ph3,left,recent,35.8,25.7,31.1,36.4,23.4,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,mandible,left,recent,,,81.8,73.2,154.2,114.7,,229.8,215.6,116.5,76.3,57.3,,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,skull,left,recent,133.2,120.1,104.7,107.1,209.7,459.3,87.7,68.7,152.7,67.3,45.9,45.7,70.9,34.9,57.1,64.3,132.4,178.1,190.5,71.4,102.1,70.5,370.8,11.8,91.9,99.5,12.1,61.1,56.5,152.2,173.9,57.1,54.4,9,22.2,71.1,66.6,100.1,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,tmC,left,recent,13.1,,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,tmI3,left,recent,14.3,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,tmm1,left,recent,23.3,,12.5,8.1,9.2,15.3,,11.8,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,tmm2,left,recent,24.5,,12.9,8.1,9.4,14.8,,12.6,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,tmm3,left,recent,26.1,,11.7,6.6,6.8,12.8,,10.9,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,tmp2,left,recent,30.6,,13.5,6.5,14.9,14.4,,10.9,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,tmp3,left,recent,26.8,,15.6,8.2,13.1,16.5,,13.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,tmp4,left,recent,25.1,,15.2,7.9,12.2,17.9,,15.2,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,txC,left,recent,11.5,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,txI2,left,recent,16.7,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,txI3,left,recent,16.6,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,txM1,left,recent,23.7,,26.2,,,1,3,2,1,11.4,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,txM2,left,recent,24.3,,24.2,,,1,4,2,1,12.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,txM3,left,recent,22.4,,20.2,,,1,2,2,1,14.3,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,txP2,left,recent,34.9,,23.2,,,1,4,2,1,7.6,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,txP3,left,recent,27.9,,26.7,,,1,3,2,1,11.8,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii,28,300,"Manica&Sofala, Beira, Moore",unknown,male,txP4,left,recent,26.7,,27.3,,,1,3,2,1,12.3,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,mandible,left,recent,398.7,116.3,75.3,69.8,144.5,117.7,53.1,204.1,199.9,99.8,70.5,60.6,91.9,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,skull,left,recent,128.2,119.6,107.6,110.7,216.1,452.1,81.4,66.2,146.8,66.8,42.2,47.1,62.9,34.9,57.6,65.5,141.4,190.7,185.5,65.6,111.1,71.9,354.2,201.3,91.9,104.8,11.9,54.8,52.7,147.7,166.3,49.4,57.6,63.9,22.3,61.1,67.9,107.7,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,tmC,left,recent,14.9,,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,tmI1,left,recent,10.9,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,tmI2,left,recent,12.6,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,tmI3,left,recent,13.3,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,tmm1,left,recent,21.4,,12.4,6.2,6.6,16.6,,13.1,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,tmm2,left,recent,22.1,,11.6,6.9,7.3,15.1,,12.1,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,tmm3,left,recent,28.3,,11.9,7.8,8.3,13.7,,11.8,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,tmp2,left,recent,27.4,,12.2,5.4,12.9,16.9,,11.1,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,tmp3,left,recent,24.6,,15.2,7.5,11.9,18.2,,14.2,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,tmp4,left,recent,23.1,,14.3,7.5,10.6,18.6,,15.1,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,txC,left,recent,12.9,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,txI1,left,recent,12.5,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,txI2,left,recent,16.9,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,txI3,left,recent,16.7,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,txM1,left,recent,21.3,,25.6,,,1,3,2,1,11.2,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,txM2,left,recent,21.3,,25.6,,,1,3,2,1,10.1,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,txM3,left,recent,24.4,,23.1,,,1,2,2,1,11.2,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,txP2,left,recent,33.1,,22.4,,,1,2,2,1,6.7,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,txP3,left,recent,25.2,,27.3,,,1,2,2,1,7.3,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii,Unknown,0,National Zoo,13-Nov-1939,male,txP4,left,recent,24.2,,27.3,,,1,2,1,1,8.5,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
