Specimen.Number,Proxy.Specimen.Number,Annual.Specimen.Number,YOC.Specimen.Number,dec.lat,dec.long,max.error,datum,elevation.ft,c.diastema.1.mm,c.diastema.2.mm,c.toothrow.1.mm,c.toothrow.2.mm,ear.length.mm,hind.foot.length.mm,tail.length.mm,total.length.mm,body.mass.g,annual.station.id,annual.station.distance.km,calveg,ann.precip.cm,ann.precip.in,avg.temp.c,avg.temp.f,yoc.station.id,yoc.station.distance,calveg,fall.max.c,fall.min.c,fall.precip.in,spr.max.c,spr.min.c,spr.precip.in,sum.max.c,sum.min.c,sum.precip.in,win.max.c,win.min.c,win.precip.in
MVZ 216227,MVZ 216227,,,37.90028,-119.12977,0,WGS84,7265,9,,11.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 216228,MVZ 216228,,,37.75139,-119.79149,0.33,WGS84,6311,9.98,,11.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 216230,MVZ 216230,,,37.74899,-119.83862,0.213,WGS84,1668,9.3,,11.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 216231,MVZ 216231,,,37.74899,-119.83862,0.213,WGS84,1668,9.35,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 21851,MVZ 21851,,,37.674352,-119.781173,0.6096,NAD27,2000,9.35,,11.94,,20,59,187,442,,,,,,,,,,,,,,,,,,,,,,,
MVZ 21852,MVZ 21852,,,37.674352,-119.781173,0.6096,NAD27,2000,8.51,,10.99,,18,51,170,395,,,,,,,,,,,,,,,,,,,,,,,
MVZ 21853,MVZ 21853,,,37.746327,-119.775863,9.656,NAD27,4800,8.26,,10.79,,26,51,170,386,343,,,,,,,,,,,,,,,,,,,,,,
MVZ 21854,MVZ 21854,,,37.52078,-120.43822,0.402,NAD27,200,9.81,,11.48,,26,58,182,423,450.6,,,,,,,,,,,,,,,,,,,,,,
MVZ 2217,MVZ 2217,,,33.6122323,-116.630609,1.609,NAD27,6800,8.24,,10.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 22657,MVZ 22657,,,37.652399,-119.702717,0.03,NAD27,6200,9.67,,12.04,,20,55,125,400,,,,,,,,,,,,,,,,,,,,,,,
MVZ 22658,MVZ 22658,,,37.756856,-119.799191,1.219,NAD27,6300,10.22,,12.11,,25,58,145,],795,,,,,,,,,,,,,,,,,,,,,,
MVZ 22659,MVZ 22659,,,37.748057,-119.83516,0.366,NAD27,5400,9.11,,11.75,,25,54,173,387,481.3,,,,,,,,,,,,,,,,,,,,,,
MVZ 22660,MVZ 22660,,,37.756431,-119.582057,4.184,NAD27,7100,8.62,,11.87,,29,57,185,444,669,,,,,,,,,,,,,,,,,,,,,,
MVZ 22661,MVZ 22661,,,37.67666,-119.580087,1.609,NAD27,7300,8.81,,11.86,,25,58,160,425,,,,,,,,,,,,,,,,,,,,,,,
MVZ 22958,MVZ 22958,,,37.659263,-120.28745,1.158,NAD27,600,8.73,,11.32,,24,57,170,420,630,,,,,,,,,,,,,,,,,,,,,,
MVZ 22959,MVZ 22959,,,37.74276,-120.15718,3.347,NAD83,3200,8.84,,11.85,,29,54,185,434,553.5,,,,,,,,,,,,,,,,,,,,,,
MVZ 22960,MVZ 22960,,,37.736686,-119.598212,6.437,NAD27,4000,8.39,,11.66,,23,59,191,438,,,,,,,,,,,,,,,,,,,,,,,
MVZ 22961,MVZ 22961,,,37.74276,-120.15718,3.347,NAD83,3200,10.24,,10.81,,25,53,180,445,522,,,,,,,,,,,,,,,,,,,,,,
MVZ 23272,MVZ 23272,,,37.739477,-119.397231,1.0668,NAD27,7500,9.18,,11.61,,21,60,194,467,720,,,,,,,,,,,,,,,,,,,,,,
MVZ 23274,MVZ 23274,,,37.835881,-119.777329,0.402,NAD27,6400,8.82,,10.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 2688,,MVZ 2688,MVZ 2688,34.00937,-117.2591,4.313,NAD27,,7.91,,11.18,,,58,186,438,,47306,8.3197421,CSC,34.5948,13.62,18.05555556,64.5,47306,8.3197421,CSC,78.33333,46.28,0.61,74.07333,44.59667,1.27,89.995,56.87333,0.15,60.725,37.76667,2.51
MVZ 2706,MVZ 2706,,,33.7912634,-116.676062,1.609,NAD27,4900,8.09,,11.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 27501,,MVZ 27501,,36.571878,-118.055553,0.03,NAD27,,8.32,,11.41,,18,51,152,383,,44232,28.409191,PGS,13.208,5.2,15.61111111,60.1,,,,,,,,,,,,,,,
MVZ 27503,MVZ 27503,MVZ 27503,,36.826074,-118.214801,0.03,NAD27,3900,7.64,,10.54,,,,,,,44232,3.1798691,PGS,13.208,5.2,15.61111111,60.1,,,,,,,,,,,,,,,
MVZ 27509,MVZ 27509,,,36.573161,-117.479799,1.609,NAD27,6300,8.38,,11.37,,19,55,150,385,439,,,,,,,,,,,,,,,,,,,,,,
MVZ 27510,MVZ 27510,,,36.573161,-117.479799,1.609,NAD27,6300,8.9,,10.67,,20,57,160,420,656.5,,,,,,,,,,,,,,,,,,,,,,
MVZ 27511,MVZ 27511,,,36.573161,-117.479799,1.609,NAD27,6300,8.65,,10.39,,14,50,160,410,480,,,,,,,,,,,,,,,,,,,,,,
MVZ 27512,MVZ 27512,,,36.826074,-118.214801,0.03,NAD27,3900,7.38,,11.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 27514,MVZ 27514,,,36.58766,-117.465934,1.609,NAD27,6500,8.51,,10.85,,18,65,155,400,537.5,,,,,,,,,,,,,,,,,,,,,,
MVZ 27515,MVZ 27515,,,36.58766,-117.465934,1.609,NAD27,6200,8.15,,11.03,,19,53,145,400,440,,,,,,,,,,,,,,,,,,,,,,
MVZ 27872,,MVZ 27872,MVZ 27872,37.8726538,-122.24106,0.80467,NAD27,,8.69,,12.66,,19,54,157,420,674.8,40693,2.3481919,COW,64.516,25.4,14.22222222,57.6,40693,2.3481919,COW,67.46667,52.30333,1.7833333,61.12667,44.38333,2.1066667,71.82333,51.56,0.10333333,55.75667,41.48667,4.4733333
MVZ 27929,,MVZ 27929,MVZ 27929,37.8737229,-122.253169,0.152,NAD27,,9.74,,11.9,,19,60,161,437,641.1,40693,1.4220708,COW,64.516,25.4,14.22222222,57.6,40693,1.4220708,COW,67.46667,52.30333,1.7833333,61.12667,44.38333,2.1066667,71.82333,51.56,0.10333333,55.75667,41.48667,4.4733333
MVZ 27959,MVZ 27959,,,39.5753379,-120.346803,0.1561,NAD27,5000,8.7,,11.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 28023,MVZ 28023,MVZ 28023,MVZ 28023,37.9302293,-122.019673,7.15997,NAD27,300,8.86,,12.38,,19,58,160,408,487.6,40693,22.8333003,UAG,64.516,25.4,14.22222222,57.6,40693,22.8333003,UAG,67.46667,52.30333,1.7833333,61.12667,44.38333,2.1066667,71.82333,51.56,0.10333333,55.75667,41.48667,4.4733333
MVZ 28024,MVZ 28024,,,37.9302293,-122.019673,7.15997,NAD27,300,8.06,,12.02,,22,53,138,382,517.2,,,,,,,,,,,,,,,,,,,,,,
MVZ 28025,MVZ 28025,,,37.9302293,-122.019673,7.15997,NAD27,300,9.15,,12.07,,22,58,165,438,607.1,,,,,,,,,,,,,,,,,,,,,,
MVZ 28658,MVZ 28658,,,35.9478,-117.9011,1,NAD27,3100,7.86,,11.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 28663,,MVZ 28663,MVZ 28663,35.905054,-119.278572,0.402,NAD27,,8.14,,12.32,,25,61,178,442,591,49452,34.2121896,UAG,18.6436,7.34,17.66666667,63.8,49452,34.2121896,UAG,80.52333,46.405,0.3866667,73.235,37.11167,0.8066667,101.47,56.65667,0.05666667,60.30833,31.80167,1.1966667
MVZ 28665,,MVZ 28665,MVZ 28665,36.7388,-119.9531,4.828,NAD27,,9.25,,11.75,,,,,,,43257,15.1816214,UAG,28.5242,11.23,17.33333333,63.2,43257,15.1816214,UAG,80.46,47.22333,0.67,71.24333,43.00333,1.1166667,97.30333,59.54,0.08333333,55.83333,34.99,1.8733333
MVZ 29145,MVZ 29145,,,36.133317,-120.747539,3.219,NAD27,1475,7.92,,12.07,,19,55,180,435,565.6,,,,,,,,,,,,,,,,,,,,,,
MVZ 29374,,MVZ 29374,MVZ 29374,36.620269,-121.822246,0.16089,NAD27,,9.03,9.03,12.42,12.23,,,,,,47916,43.8552075,UAG,77.9018,30.67,14.27777778,57.7,47916,43.8552075,UAG,70.73,45.02,1.9766667,63.99667,40.91,2.4833333,73.13667,47.99667,0.14333333,61.10667,37.42667,5.62
MVZ 29375,,MVZ 29375,MVZ 29375,36.60922,-121.835607,0.80467,NAD27,,9.99,9.94,12.64,12.6,19,58,186,478,886.1,47916,44.537932,UAG,77.9018,30.67,14.27777778,57.7,47916,44.537932,UAG,70.73,45.02,1.9766667,63.99667,40.91,2.4833333,73.13667,47.99667,0.14333333,61.10667,37.42667,5.62
MVZ 29898,,MVZ 29898,MVZ 29898,41.73066,-122.64055,7.809,NAD27,,8,,10.33,,18,51,154,390,,49866,1.6655323,MCP,49.9364,19.66,10.72222222,51.3,49866,1.6655323,MCP,70.39667,34.99667,1.5533333,68.53333,31.13667,1.4633333,90.42333,45.93,0.66,45.43,23.39333,2.8766667
MVZ 29915,,MVZ 29915,MVZ 29915,39.7662652,-121.788239,7.094,NAD27,,10.3,,11.44,,20,60,220,518,,41715,7.748372,AGS,66.6242,26.23,15.83333333,60.5,41715,7.748372,AGS,74.715,44.605,1.81,72.09,43.08833,2.2733333,93.76333,55.37,0.22666667,54.925,33.46667,4.4333333
MVZ 29916,,MVZ 29916,MVZ 29916,39.6064556,-121.675235,9.611,NAD27,,9.2,,11.59,,21,54,206,475,,41715,15.9711444,AGS,66.6242,26.23,15.83333333,60.5,41715,15.9711444,AGS,74.715,44.605,1.81,72.09,43.08833,2.2733333,93.76333,55.37,0.22666667,54.925,33.46667,4.4333333
MVZ 29917,,MVZ 29917,MVZ 29917,39.4679347,-121.649292,0.0933,NAD27,,9.55,,11.15,,20,59,180,474,,41715,29.4987774,WAT,66.6242,26.23,15.83333333,60.5,41715,29.4987774,WAT,74.715,44.605,1.81,72.09,43.08833,2.2733333,93.76333,55.37,0.22666667,54.925,33.46667,4.4333333
MVZ 31304,,MVZ 31304,MVZ 31304,33.8283609,-116.533406,1.0668,NAD27,,9.1,,11.58,,,,,,,44259,26.8504837,UAG,8.001,3.15,23.61111111,74.5,44259,26.8504837,UAG,88.435,59.78,0.17,85.945,58.04833,0.1966667,105.18333,78.07667,0.10333333,71.74333,40.04333,0.58
MVZ 3148,,MVZ 3148,,32.64,-116.78,1,NAD27,,8.14,,10.53,,20,52,168,380,,41758,30.3462793,CRC,25.273,9.95,17.61111111,63.7,,,,,,,,,,,,,,,
MVZ 3157,,MVZ 3157,,32.715,-117.156,1,NAD27,,8.37,,11.43,,,,,,,41758,13.7874886,UAG,25.273,9.95,17.61111111,63.7,,,,,,,,,,,,,,,
MVZ 3158,,MVZ 3158,,32.7,-117.246,1,NAD27,,8.18,,11.6,,,,,,,41758,17.6172385,UAG,25.273,9.95,17.61111111,63.7,,,,,,,,,,,,,,,
MVZ 3172,,MVZ 3172,,33.07,-116.6,1,NAD27,,7.56,,11.25,,,,,,,42239,9.7333469,COW,91.0082,35.83,11.33333333,52.4,,,,,,,,,,,,,,,
MVZ 32380,MVZ 32380,,,38.828696,-119.785737,0.80467,NAD27,5100,8.5,,11.53,,19,53,146,400,,,,,,,,,,,,,,,,,,,,,,,
MVZ 3441,,MVZ 3441,MVZ 3441,36.59962,-121.897474,1.609,NAD27,,9.46,,11.06,,,61,176,444,,47916,43.8780294,UAG,77.9018,30.67,14.27777778,57.7,47916,43.8780294,UAG,73.29667,46.19667,1.9766667,63.31333,43.95333,2.4833333,74.13,50.44667,0.14333333,62.07333,42.38,5.62
MVZ 34504,MVZ 34504,MVZ 34504,,40.1905269,-122.236143,3.647,NAD27,300,9.38,,11.83,,,,,,,47304,34.7777709,UAG,85.1408,33.52,16.44444444,61.6,,,,,,,,,,,,,,,
MVZ 34505,MVZ 34505,,,40.1905269,-122.236143,3.647,NAD27,300,9.99,,12.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 34506,MVZ 34506,MVZ 34506,,40.3152627,-122.069149,0.425,NAD27,600,10.1,,11.74,,21,62,195,480,717,47304,28.3593043,AGS,85.1408,33.52,16.44444444,61.6,,,,,,,,,,,,,,,
MVZ 34507,MVZ 34507,,,40.3152627,-122.069149,0.425,NAD27,600,9.65,,11.48,,21,58,201,472,595,,,,,,,,,,,,,,,,,,,,,,
MVZ 34508,MVZ 34508,,,40.3152627,-122.069149,0.425,NAD27,600,9.4,,11.49,,18,53,187,445,502,,,,,,,,,,,,,,,,,,,,,,
MVZ 34509,MVZ 34509,,,40.3152627,-122.069149,0.425,NAD27,600,8.56,,10.81,,18,57,177,443,645,,,,,,,,,,,,,,,,,,,,,,
MVZ 34510,MVZ 34510,,,40.3152627,-122.069149,0.425,NAD27,600,8.34,,11.3,,18,54,168,445,531,,,,,,,,,,,,,,,,,,,,,,
MVZ 34511,MVZ 34511,,,40.3152627,-122.069149,0.425,NAD27,600,9.87,,11.16,,18,57,200,458,604,,,,,,,,,,,,,,,,,,,,,,
MVZ 36612,MVZ 36612,,,40.394887,-123.015054,1.109,NAD27,4400,9.23,8.94,11.27,11.36,25,55,185,547,561.2,,,,,,,,,,,,,,,,,,,,,,
MVZ 3939,,MVZ 3939,,34.441,-119.26,1,NAD27,,8.85,8.58,11.31,11.39,,,,,,46399,2.6465542,UAG,55.3466,21.79,16.66666667,62,,,,,,,,,,,,,,,
MVZ 3941,,MVZ 3941,,34.2780872,-119.277539,2.414,NAD27,,8.62,,11.78,,,,,,,47902,43.2393254,UAG,47.1932,18.58,16.16666667,61.1,,,,,,,,,,,,,,,
MVZ 4096,,MVZ 4096,MVZ 4096,37.435739,-122.131845,6.437,NAD27,,9.26,9.16,12.4,11.94,,,,,,44997,42.3692163,UAG,37.6428,14.82,15.44444444,59.8,44997,42.3692163,UAG,70.28333,45.82333,0.9866667,60.43667,46.24333,1.2866667,82.63333,50.53667,0.06666667,53.68667,41.28333,2.6
MVZ 44243,MVZ 44243,,,40.6096034,-123.557408,5.646,NAD27,5500,9.45,,12.09,,17,61,202,460,,,,,,,,,,,,,,,,,,,,,,,
MVZ 5034,,MVZ 5034,MVZ 5034,37.724039,-122.455987,0.80467,NAD27,,9.59,,11.94,,,61,169,415,,40693,22.9840785,UAG,64.516,25.4,14.22222222,57.6,40693,22.9840785,UAG,66.21,51.90333,1.7833333,62.05333,45.59667,2.1066667,71.72667,52.56,0.10333333,53.10333,19.37667,4.4733333
MVZ 51418,MVZ 51418,MVZ 51418,MVZ 51418,35.1939609,-119.29954,1.609,NAD27,290,8.93,,11.68,,26,57,176,433,551.8,49452,45.1603177,UAG,18.6436,7.34,17.66666667,63.8,49452,45.1603177,UAG,77.86667,44.59667,0.3866667,76.41333,43.07333,0.8066667,95.5,59.27667,0.05666667,54.96,34.07667,1.1966667
MVZ 51419,MVZ 51419,,,35.1939609,-119.29954,1.609,NAD27,290,9.29,,11.33,,27,59,181,430,590.3,,,,,,,,,,,,,,,,,,,,,,
MVZ 55033,MVZ 55033,,,36.7055,-119.0741,1.207,NAD27,2900,9.45,,11.2,,27,60,177,413,639.7,,,,,,,,,,,,,,,,,,,,,,
MVZ 56873,MVZ 56873,,,40.41634,-123.43064,2.771,NAD27,3700,9.97,9.86,11.3,11.24,26,55,182,442,406.9,,,,,,,,,,,,,,,,,,,,,,
MVZ 56874,MVZ 56874,,,40.4163424,-123.411686,0.446,NAD27,2000,9.45,9.71,11.77,11.95,25,60,200,475,700,,,,,,,,,,,,,,,,,,,,,,
MVZ 58876,MVZ 58876,,,40.8748542,-123.731703,4.921,NAD27,4900,9.71,,11.82,,18,58,200,465,,,,,,,,,,,,,,,,,,,,,,,
MVZ 59727,MVZ 59727,,,40.1656161,-122.80035,0.09495,NAD27,3600,8.84,,10.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 59728,MVZ 59728,,,40.1656161,-122.80035,0.09495,NAD27,3600,10,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 59729,MVZ 59729,,,40.1656161,-122.80035,0.09495,NAD27,3600,9.5,,11.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 59730,MVZ 59730,,,40.1656161,-122.80035,0.09495,NAD27,3600,9.48,,12.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 59974,MVZ 59974,,,35.4277106,-118.49432,1.609,NAD27,3900,8.91,9.02,11.18,11.27,30,55,171,420,569,,,,,,,,,,,,,,,,,,,,,,
MVZ 6380,,MVZ 6380,,34.8760033,-118.89392,1.609,NAD27,,8.07,,11.66,,,58,187,437,,42941,45.7011889,MCH,41.4274,16.31,15.88888889,60.6,,,,,,,,,,,,,,,
MVZ 64981,MVZ 64981,,,36.065444,-117.515063,0.03,NAD27,5725,8.12,,11.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 64982,MVZ 64982,,,36.065794,-117.522775,0.03,NAD27,5735,9.15,,11.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 64983,MVZ 64983,,,36.075254,-117.516499,0.03,NAD27,5725,7.79,,11.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 65442,MVZ 65442,MVZ 65442,MVZ 65442,41.3814079,-122.374183,4.197,NAD27,4000,9.39,,11.03,,26,58,180,442,,45983,8.6494663,UAG,99.4664,39.16,9.555555556,49.2,45983,8.6494663,UAG,69.31333,33.34333,2.72,59.63,30.71667,3.4433333,83.82,45.10333,0.60333333,42.31,21.05,6.2866667
MVZ 65608,MVZ 65608,,,36.370134,-121.750938,0.3219,NAD27,3500,8.4,8.6,12.16,11.78,29.5,51,154,412,,,,,,,,,,,,,,,,,,,,,,,
MVZ 66427,MVZ 66427,,,35.14612,-119.4559,3.3,NAD27,900,8,7.95,11.14,11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 69099,,MVZ 69099,MVZ 69099,41.9262514,-124.112336,1.822,NAD27,,9.85,,12.36,,27,60,238,508,,351055,16.4767052,DFR,186.6392,73.48,12.27777778,54.1,351055,16.4767052,DFR,61.51333,46.84667,5.9166667,61.70667,42.42167,6.3133333,66.45667,49.12333,1.12666667,57.11,42.42667,11.1366667
MVZ 69101,MVZ 69101,,,41.9106494,-122.925881,0.624,NAD27,6000,9.32,,11.44,,25,58,203,460,610,,,,,,,,,,,,,,,,,,,,,,
MVZ 69103,MVZ 69103,MVZ 69103,MVZ 69103,41.7558403,-122.268582,2.493,NAD27,3600,8.96,,11.67,,24,55,183,423,491,45983,48.9237653,PPN,99.4664,39.16,9.555555556,49.2,45983,48.9237653,PPN,63.94667,32.14333,2.72,62.34667,30.7,3.4433333,81.53667,43.20333,0.60333333,46.71,25.71667,6.2866667
MVZ 69104,MVZ 69104,MVZ 69104,MVZ 69104,41.4453638,-122.451487,4.635,NAD27,2900,8.86,,11.51,,26,57,205,442,640,45983,18.1998541,UAG,99.4664,39.16,9.555555556,49.2,45983,18.1998541,UAG,63.94667,32.14333,2.72,62.34667,30.7,3.4433333,81.53667,43.20333,0.60333333,46.71,25.71667,6.2866667
MVZ 69105,MVZ 69105,MVZ 69105,MVZ 69105,41.4716,-122.4662,1.239,not recorded,2750,10.42,,11.57,,25,61,198,455,610,45983,21.2637347,UAG,99.4664,39.16,9.555555556,49.2,45983,21.2637347,UAG,63.94667,32.14333,2.72,62.34667,30.7,3.4433333,81.53667,43.20333,0.60333333,46.71,25.71667,6.2866667
MVZ 72535,MVZ 72535,,,36.5768639,-121.05343,2.01168,NAD27,3000,9.24,,10.85,,30,51,155,412,583,,,,,,,,,,,,,,,,,,,,,,
MVZ 72536,MVZ 72536,,,36.5768639,-121.05343,2.01168,NAD27,3000,8.57,,10.87,,29,53,149,393,526,,,,,,,,,,,,,,,,,,,,,,
MVZ 72537,MVZ 72537,,,36.5768639,-121.05343,2.01168,NAD27,3000,8.77,,11.8,,26,54,166,426,643,,,,,,,,,,,,,,,,,,,,,,
MVZ 72540,MVZ 72540,,,36.4443,-120.6724,1,NAD27,1900,7.91,,11.87,,27,51,161,400,680,,,,,,,,,,,,,,,,,,,,,,
MVZ 74393,,MVZ 74393,MVZ 74393,39.6501448,-121.601151,0.539,NAD27,,9.25,,11.59,,,,,,,41715,19.2966229,AGS,66.6242,26.23,15.83333333,60.5,41715,19.2966229,AGS,79.71333,45.47667,1.81,71.12333,44.24333,2.2733333,93.28667,57.79,0.22666667,56.64,35.81667,4.4333333
MVZ 74395,,MVZ 74395,MVZ 74395,39.6474268,-121.618823,1.9875,NAD27,,8.4,,11.29,,,,,,,41715,17.9458673,AGS,66.6242,26.23,15.83333333,60.5,41715,17.9458673,AGS,79.71333,45.47667,1.81,71.12333,44.24333,2.2733333,93.28667,57.79,0.22666667,56.64,35.81667,4.4333333
MVZ 74396,,MVZ 74396,MVZ 74396,39.650182,-121.587827,0.539,NAD27,,8.93,,11.36,,,,,,,41715,20.3930095,AGS,66.6242,26.23,15.83333333,60.5,41715,20.3930095,AGS,79.71333,45.47667,1.81,71.12333,44.24333,2.2733333,93.28667,57.79,0.22666667,56.64,35.81667,4.4333333
MVZ 77047,,MVZ 77047,MVZ 77047,34.056,-117.182,1,NAD27,,9.01,,11.26,,,61,179,433,,47306,0.6765604,UAG,34.5948,13.62,18.05555556,64.5,47306,0.6765604,UAG,83.20667,47.89333,0.61,75.50333,47.25333,1.27,92.68,59.45333,0.15,62.29333,38.62,2.51
MVZ 84338,MVZ 84338,,,33.9329862,-116.929282,1.3716,NAD27,2250,9.48,,11.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 85015,MVZ 85015,,,33.9622539,-116.929194,1.609,NAD27,2850,8.34,8.18,10.71,10.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 85016,MVZ 85016,,,33.9622539,-116.929194,1.609,NAD27,2850,8.64,8.53,10.8,10.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 85018,MVZ 85018,,,33.9622539,-116.929194,1.609,NAD27,2850,9.03,8.8,10.99,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 85019,MVZ 85019,,,33.9552904,-116.929196,1.609,NAD27,2700,8.69,8.96,11,11.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 85020,MVZ 85020,,,33.9402674,-116.90214,1.609,NAD27,2600,7.46,7.22,11.97,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 85021,MVZ 85021,,,33.9099521,-116.593253,0.785,NAD27,900,8.15,,9.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 87972,MVZ 87972,MVZ 87972,MVZ 87972,37.6378422,-121.575969,2.211,NAD27,250,7.88,,12.39,,25,53,139,384,,44997,17.5635112,AGS,37.6428,14.82,15.44444444,59.8,44997,17.5635112,AGS,73.74,46.18,0.9866667,65.51333,46.67,1.2866667,83.84,50.94333,0.06666667,57.11667,39.14333,2.6
MVZ 88567,MVZ 88567,MVZ 88567,MVZ 88567,38.2500657,-122.361633,3.9799,NAD27,200,10.4,10.5,11.98,11.86,31,61,211,502,877,46074,9.0910963,UAG,67.2084,26.46,15.05555556,59.1,46074,9.0910963,UAG,75.63,44.17333,1.8533333,67.56667,42.72,2.1066667,80.60667,50.66667,0.10666667,59.73667,37.69,4.7533333
MVZ 89625,MVZ 89625,,,33.9400561,-116.919052,1.0668,NAD27,2700,7.88,,11.24,,27,50,160,388,,,,,,,,,,,,,,,,,,,,,,,
MVZ 89626,MVZ 89626,,,33.893102,-116.791225,0.762,NAD27,1700,8.72,,11.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 89627,MVZ 89627,,,33.893102,-116.791225,0.762,NAD27,1700,8.52,,11.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 90065,MVZ 90065,,,33.883,-116.615,1,NAD27,1200,8.07,8.17,11.39,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 90651,MVZ 90651,MVZ 90651,MVZ 90651,33.9148653,-116.793425,0.3048,NAD27,1800,9.1,9.17,11.93,12.08,,,,,,47306,39.0071317,DSC,34.5948,13.62,18.05555556,64.5,47306,39.0071317,DSC,81.97667,49.05333,0.61,74.85333,47.33667,1.27,92.27333,58.70333,0.15,63.25667,39.32667,2.51
MVZ 95402,,MVZ 95402,MVZ 95402,40.56728,-124.1438,4.149,NAD27,,10.08,,12.17,,26,60,200,467,,42910,25.9079129,UAG,96.774,38.1,11.61111111,52.9,42910,25.9079129,UAG,61.51667,49.83333,3,58.88333,47.68333,3.36,62.15,53.13333,0.39666667,57.3,45.25,5.9433333
MVZ 96424,MVZ 96424,,,41.1017824,-121.519337,1.839,NAD27,3400,7.93,7.99,11.58,11.26,24,52,170,394,339,,,,,,,,,,,,,,,,,,,,,,
MVZ 98962,MVZ 98962,,,37.120063,-118.356623,0.03,NAD27,6000,8.49,,11.51,,25,51,177,415,582,,,,,,,,,,,,,,,,,,,,,,
MVZ 98963,MVZ 98963,,,37.120063,-118.356623,0.03,NAD27,6000,9,,10.73,,26,52,170,425,635,,,,,,,,,,,,,,,,,,,,,,
MVZ 98964,MVZ 98964,,,37.120063,-118.356623,0.03,NAD27,6000,7.89,,11.31,,25,52,147,395,510,,,,,,,,,,,,,,,,,,,,,,
MVZ 98965,MVZ 98965,,,37.120063,-118.356623,0.03,NAD27,6000,7.63,,10.93,,25,52,146,383,437.3,,,,,,,,,,,,,,,,,,,,,,
MVZ 98966,MVZ 98966,,,37.120063,-118.356623,0.03,NAD27,6000,8.05,,11.37,,25,52,173,435,616.3,,,,,,,,,,,,,,,,,,,,,,
MVZ 98968,MVZ 98968,,,36.265,-118.0475,1,NAD27,5200,7.95,,11.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 98969,MVZ 98969,,,36.22778,-118.090504,0.03,NAD27,7500,8.64,,11.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 98972,MVZ 98972,,,36.265,-118.0475,1,NAD27,5200,9.6,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99337,MVZ 99337,,,36.7875,-118.6604,2.42643,NAD27,4600,8.49,,10.81,,29,52,142,391,470.9,,,,,,,,,,,,,,,,,,,,,,
MVZ 99338,MVZ 99338,,,36.7875,-118.6604,2.42643,NAD27,4600,8.46,,12.13,,30,55,170,410,680.1,,,,,,,,,,,,,,,,,,,,,,
MVZ 99529,MVZ 99529,,,40.45807,-123.4568,2.93866,NAD27,5000,9.86,10.05,11.81,11.46,24,58,175,430,703,,,,,,,,,,,,,,,,,,,,,,
MVZ 99530,MVZ 99530,,,40.45807,-123.4568,2.93866,NAD27,5000,10.08,9.98,10.67,10.54,25,57,195,460,638.8,,,,,,,,,,,,,,,,,,,,,,
MVZ 99895,MVZ 99895,,,34.03361,-117.04222,2.81796,NAD27,1950,8.22,,11.61,,22,55,165,428,300,,,,,,,,,,,,,,,,,,,,,,
MVZ 99896,MVZ 99896,MVZ 99896,MVZ 99896,34.0172371,-117.182878,2.414,NAD27,1900,9.49,,11.28,,,,,,,47306,3.6329723,CSC,34.5948,13.62,18.05555556,64.5,47306,3.6329723,CSC,80.47667,47.67,0.61,73.92,47.82,1.27,91.04,58.27,0.15,62.95667,41.29333,2.51
