Specimen.Number,Proxy.Specimen.Number,Annual.Specimen.Number,YOC.Specimen.Number,dec.lat,dec.long,max.error,datum,elevation.ft,c.diastema.1.mm,c.diastema.2.mm,c.toothrow.1.mm,c.toothrow.2.mm,ear.length.mm,hind.foot.length.mm,tail.length.mm,total.length.mm,body.mass.g,annual.station.id,annual.station.distance.km,calveg,ann.precip.cm,ann.precip.in,avg.temp.c,avg.temp.f,yoc.station.id,yoc.station.distance,calveg,fall.max.c,fall.min.c,fall.precip.in,spr.max.c,spr.min.c,spr.precip.in,sum.max.c,sum.min.c,sum.precip.in,win.max.c,win.min.c,win.precip.in
MVZ 11399,,MVZ 11399,MVZ 11399,40.60969,-124.2623,4.545,NAD27,,9.53,,12.37,,20,62,683,455,,42910,22.6200952,UAG,96.774,38.1,11.61111111,52.9,42910,22.6200952,UAG,60.79,47.41667,3,54.86667,44.78333,3.36,58.03333,49.13,0.39666667,52.71667,41.6,5.9433333
MVZ 113993,MVZ 113993,,,34.0304563,-116.303857,1.609,NAD27,5000,7.66,,11.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 113994,MVZ 113994,,,34.0304563,-116.303857,1.609,NAD27,5000,8.61,,11.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 11400,,MVZ 11400,MVZ 11400,40.5216,-124.0327,1.152,NAD27,,8.98,,11.91,,18,57,197,440,,42910,32.9162587,DFR,96.774,38.1,11.61111111,52.9,42910,32.9162587,DFR,60.79,47.41667,3,54.86667,44.78333,3.36,58.03333,49.13,0.39666667,52.71667,41.6,5.9433333
MVZ 11886,,MVZ 11886,MVZ 11886,38.9026797,-120.061399,3.021,NAD27,,8.69,,11.59,,,,,,,48758,29.9727232,SMC,82.9564,32.66,6.666666667,44,48758,29.9727232,SMC,61.44667,31.01,2.3666667,53.97333,24.45333,2.5333333,76.54,36.51167,0.52,37.96333,16.75,5.4666667
MVZ 119042,MVZ 119042,,,37.983072,-120.381108,0.03,NAD27,2000,8.41,,11.71,,23,54,186,433,491.8,,,,,,,,,,,,,,,,,,,,,,
MVZ 121894,MVZ 121894,,,40.201986,-121.228385,1.609,NAD27,4300,9.73,,11.2,,29,57,182,436,600.6,,,,,,,,,,,,,,,,,,,,,,
MVZ 122546,MVZ 122546,MVZ 122546,MVZ 122546,41.307572,-122.328516,0.195,NAD27,3440,8.83,,11.24,,,55,189,439,608.4,45983,1.4153707,UAG,99.4664,39.16,9.555555556,49.2,45983,1.4153707,UAG,63.52,32.16667,2.72,58.18333,30.48667,3.4433333,78.67333,42.94667,0.60333333,43.85667,23.79667,6.2866667
MVZ 122547,MVZ 122547,,,41.307572,-122.328516,0.195,NAD27,3440,9.5,,11.98,,31,55,187,439,534.6,,,,,,,,,,,,,,,,,,,,,,
MVZ 125666,MVZ 125666,MVZ 125666,MVZ 125666,34.087,-118.473699,0.1,NAD27,300,8.95,,11.99,,27,53,160,420,,46719,30.6633078,UAG,53.5686,21.09,18.55555556,65.4,46719,30.6633078,UAG,78.53667,52.77333,0.8766667,69.455,47.14167,2.0166667,83.46667,57.21,0.15666667,65.54333,42.18667,3.98
MVZ 125668,MVZ 125668,,,34.087,-118.473699,0.1,NAD27,300,8.17,,12.06,,24,50,152,352,249.1,,,,,,,,,,,,,,,,,,,,,,
MVZ 125669,MVZ 125669,,,34.087,-118.473699,0.1,NAD27,300,8,,11.98,,21,48,141,335,264.6,,,,,,,,,,,,,,,,,,,,,,
MVZ 128574,MVZ 128574,,,34.2523521,-117.076962,1.349,NAD27,6500,9.17,,11.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 128575,MVZ 128575,,,38.151055,-120.013679,8.0467,NAD27,6000,9.09,,11.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 13022,,MVZ 13022,MVZ 13022,41.3783019,-122.825497,2.5878,NAD27,,8.91,,11.49,,,59,184,433,,49866,40.8415879,UAG,49.9364,19.66,10.72222222,51.3,49866,40.8415879,UAG,69.84167,33.97167,1.5533333,68.05667,32.62,1.4633333,88.08,44.16,0.66,42.04833,21.68833,2.8766667
MVZ 13027,MVZ 13027,,,41.2275573,-122.382059,0.415,NAD27,5434,8.75,,10.98,,,57,178,424,,,,,,,,,,,,,,,,,,,,,,,
MVZ 13028,MVZ 13028,,,41.2275573,-122.382059,0.415,NAD27,5434,9.13,,11.46,,,55,180,430,,,,,,,,,,,,,,,,,,,,,,,
MVZ 132595,MVZ 132595,,,39.4906672,-122.688926,4.09,NAD27,1400,8.32,,12.01,,25,53,164,369,,,,,,,,,,,,,,,,,,,,,,,
MVZ 132596,MVZ 132596,,,39.5128001,-123.079466,0.043,NAD27,5500,9.4,,11.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 13855,,MVZ 13855,MVZ 13855,37.630297,-121.513688,3.219,NAD27,,8.62,8.67,11.88,11.94,23,56,165,430,,44997,23.0808365,AGS,37.6428,14.82,15.44444444,59.8,44997,23.0808365,AGS,70.46667,43.75667,0.9866667,62.78667,45.86,1.2866667,82.91667,48.67,0.06666667,52.67,37.98333,2.6
MVZ 13856,,MVZ 13856,MVZ 13856,36.95177,-119.692108,1.207,NAD27,,7.5,,11.77,,,,165,400,,43257,25.5786711,VOW,28.5242,11.23,17.33333333,63.2,43257,25.5786711,VOW,78.57667,46.80333,0.67,75.76,45.83667,1.1166667,96.43667,59.33333,0.08333333,55.78333,34.50667,1.8733333
