1st_body_mass,1st_total_length,catalognumber,collectioncode,decimallatitude,decimallongitude,dynamicproperties,1st_ear_length,eventdate,fieldnotes,1st_hind_foot_length,institutioncode,1st_life_stage_notation,2nd_life_stage_notation,lifestage,ageValue,ageUnit,locality,occurrenceid,reproductivecondition,scientificname,sex,1st_sex_notation,1st_tail_length,1st_testes_side
26308.36,1330,60168,Mammals,35.50028,-89.20833,"{""totalLengthIn"":""1330"", ""tailLengthIn"":""215"", ""hindfootLengthIn"":""377"", ""earLengthIn"":""132"", ""weightInlbs"":""58""}",,10/29/1989,,,OMNH,0.5 years,,,0.5 years,,"Hunt Area 2, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:60168,,Odocoileus virginianus,male,male,,
46266.42,1330,61097,Mammals,35.50028,-89.20833,"{""totalLengthIn"":""[1330]"", ""tailLengthIn"":""[74]"", ""hindfootLengthIn"":""444"", ""earLengthIn"":""161"", ""weightInlbs"":""102""}",,10/28/1989,,,OMNH,2.5 years,,,2.5 years,,"Hunt Area 3, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61097,,Odocoileus virginianus,female,female,,
52941,1330,M008523,CTC,,,"{ ""massInGrams""=""52941"", ""tailLengthInMillimeters""=""155"", ""footLengthInMillimeters""=""365"", ""headBodyLengthInMillimeters""=""1330"" }",,1962-05,,365,UBCBBM,,,,,,,urn:catalog:UBCBBM:CTC:M008523,,Odocoileus virginianus truei,male,male,155,
35380.21,1331,60137,Mammals,35.50028,-89.20833,"{""totalLengthIn"":""1331"", ""tailLengthIn"":""219"", ""hindfootLengthIn"":""416"", ""earLengthIn"":""142"", ""weightInlbs"":""78""}",,10/21/1989,,,OMNH,0.5 years,,,0.5 years,,"Hunt Area 1, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:60137,,Odocoileus virginianus,male,male,,
37194.58,1331,61009,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1331"", ""tailLengthInmm"":""195"", ""hindfootLengthInmm"":""400"", ""earLengthInmm"":""142"", ""weightInlbs"":""82""}",142,10/25/1992,,400,OMNH,1.5 years,,,1.5 years,,"Hunt Area 2, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61009,,Odocoileus virginianus,female,female,195,
24493.99,1334,60197,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1334"", ""tailLengthInmm"":""222"", ""hindfootLengthInmm"":""346"", ""earLengthInmm"":""142"", ""weightInlbs"":""54""}",142,10/22/1989,,346,OMNH,0.5 yr,,,0.5 yr,,"Hunt Area 2, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:60197,,Odocoileus virginianus,female,female,222,
34927,1334,18188,Mammals,17.7647209,-64.8502808,"{""totalLengthInMM"":""1334"", ""tailLengthInMM"":""127"", ""hindfootLengthInMM"":""343"", ""earLengthInMM"":""127"", ""weightInGrams"":""34927"" }",127,7/20/1972,,343,TTU,,,,,,ANNALY BAY ESTATE,urn:catalog:TTU:Mammals:18188,,Odocoileus virginianus,female,female,127,
47627.2,1338,62011,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1338"", ""tailLengthInmm"":""206"", ""hindfootLengthInmm"":""409"", ""earLengthInmm"":""139"", ""weightInlbs"":""105""}",139,10/28/1990,,409,OMNH,2.5 years,,,2.5 years,,"Hunt Area 4, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:62011,,Odocoileus virginianus,female,female,206,
33565.84,1343,60170,Mammals,35.50028,-89.20833,"{""totalLengthIn"":""1343"", ""tailLengthIn"":""230"", ""hindfootLengthIn"":""383"", ""earLengthIn"":""152"", ""weightInlbs"":""74""}",,10/20/1990,,,OMNH,0.5 years,,,0.5 years,,"Hunt Area 2, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:60170,,Odocoileus virginianus,male,male,,
30844.28,1345,62210,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1345"", ""tailLengthInmm"":""245"", ""hindfootLengthInmm"":""394"", ""earLengthInmm"":""125"", ""weightInlbs"":""68""}",125,10/24/1987,,394,OMNH,0.5 years,,,0.5 years,,"Hunt Area 1, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:62210,,Odocoileus virginianus,male,male,245,
31752,1346,18212,Mammals,17.7483292,-64.8316727,"{""totalLengthInMM"":""1346"", ""tailLengthInMM"":""152"", ""hindfootLengthInMM"":""381"", ""earLengthInMM"":""140"", ""weightInGrams"":""31752"" }",140,5/16/1972,,381,TTU,,,,,,TWO FRIENDS ESTATE,urn:catalog:TTU:Mammals:18212,,Odocoileus virginianus,male,male,152,
37195,1346,18199,Mammals,,,"{""totalLengthInMM"":""1346"", ""tailLengthInMM"":""152"", ""hindfootLengthInMM"":""381"", ""earLengthInMM"":""140"", ""weightInGrams"":""37195"" }",140,10/7/1972,,381,TTU,,,,,,LAGRANGE ESTATE,urn:catalog:TTU:Mammals:18199,,Odocoileus virginianus,male,male,152,
24040.4,1348.74,46590,Mamm,,,"{""ear from notch"":""5.4in"", ""hind foot with claw"":""14in"", ""sex"":""female"", ""tail length"":""7.4in"", ""total length"":""53.1in"", ""weight"":""53lb""}",137.16,2/23/1953,,355.6,MCZ,,,,,,"Ruby, Sycamore Canyon",MCZ:Mamm:46590,,Odocoileus virginianus cousei,female,female,187.96,
39916.13,1351,62076,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1351"", ""tailLengthInmm"":""208"", ""hindfootLengthInmm"":""404"", ""earLengthInmm"":""150"", ""weightInlbs"":""88""}",150,10/20/1991,,404,OMNH,3.5 years,,,3.5 years,,"Hunt Area 4, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:62076,,Odocoileus virginianus,female,female,208,
31297.88,1356,62084,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1356"", ""tailLengthInmm"":""190"", ""hindfootLengthInmm"":""398"", ""earLengthInmm"":""132"", ""weightInlbs"":""69""}",132,10/26/1991,,398,OMNH,1.5 years,,,1.5 years,,"Hunt Area 4, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:62084,,Odocoileus virginianus,female,female,190,
