	institutionCode	collectionCode	catalogNumber	measurementSide	measurementType	scientificName	decimalLatitude	decimalLongitude	locality	verbatimLocality	basisOfRecord	measurementValue	measurementUnit	lithostratigraphicTerms	formation	member	references	materialSampleID
12	Museum of the city of Las Flores	Col. HGC	5	right	M1 occlusal length	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	25.6	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	4bd7ebab-a6fd-46fc-b202-3d33960f54f7
13	Museum of the city of Las Flores	Col. HGC	5	right	M1 occlusal breadth	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	26.8	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	b68ed999-71fa-49a9-8285-f47f67fb292d
14	Museum of the city of Las Flores	Col. HGC	5	right	M1 height	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	63.0	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	d363e126-b437-43c2-9f0d-8b2038c6cd6d
15	Museum of the city of Las Flores	Col. HGC	5	right	M1 occlusal length of the protocone	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	11.9	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	2da00556-539c-4f38-96c3-e3773f73c8a5
16	Museum of the city of Las Flores	Col. HGC	5	right	M2 occlusal length	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	25.9	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	6d60da8a-cc33-4024-ac30-c503c11d4ff4
17	Museum of the city of Las Flores	Col. HGC	5	right	M2 occlusal breadth	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	26.5	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	40a4ef15-a81a-491d-99b3-b8970ac55e2a
18	Museum of the city of Las Flores	Col. HGC	5	right	M2 height	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	69.5	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	3989d599-24d1-41a0-a870-70f404e40404
19	Museum of the city of Las Flores	Col. HGC	5	right	M2 occlusal length of the protocone	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	13.5	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	47b03412-d473-4cf3-9c10-5d35e7296e9d
20	Museum of the city of Las Flores	Col. HGC	5	right	M3 occlusal length	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	25.8	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	856ca74b-cb7f-457e-99f8-57010c921d70
21	Museum of the city of Las Flores	Col. HGC	5	right	M3 occlusal breadth	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	22.8	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	8971f70d-0d1b-4a88-9c49-7a3c57a1f0e5
