,catalogNumber,institutionCode,otherCatalogNumbers,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,pointElevationInMeters,materialSampleID,measurementUnit,measurementType,measurementValue,diagnosticID
29, 113994,MVZ,MVZ 113994,34.0304563,-116.30385700000001,1.609,1524.0,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,651e94df-28ab-4ee0-b087-43f29a96724c
30, 11400,MVZ,MVZ 11400MVZ 11400,40.5216,-124.0327,1.1520000000000001,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,18,ac5f12a2-2eb1-4645-9da4-b3eb7fae0c64
31, 11886,MVZ,MVZ 11886MVZ 11886,38.9026797,-120.061399,3.0210000000000004,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,c5ec3767-1636-4268-b252-86f141648571
32, 119042,MVZ,MVZ 119042,37.983072,-120.38110800000001,0.03,609.6,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,23,58a9d42b-1d0b-4ca7-b5e7-d4ee53c0ad80
33, 121894,MVZ,MVZ 121894,40.201986,-121.228385,1.609,1310.64,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,29,9e594a5b-18e5-4488-b572-c4dd6e58320e
34, 122546,MVZ,MVZ 122546MVZ 122546MVZ 122546,41.307572,-122.328516,0.195,1048.512,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,554d6585-76ba-4701-ae83-bd2df9392b3b
35, 122547,MVZ,MVZ 122547,41.307572,-122.328516,0.195,1048.512,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,31,71151b0c-de61-45d4-a26d-8c050b91d3bd
36, 125666,MVZ,MVZ 125666MVZ 125666MVZ 125666,34.086999999999996,-118.473699,0.1,91.44,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,27,551fe59c-a1a8-4bf4-a34b-5b3ce14df149
37, 125668,MVZ,MVZ 125668,34.086999999999996,-118.473699,0.1,91.44,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,24,29f28bbe-143f-4df1-b2bd-6e37a5568d5d
38, 125669,MVZ,MVZ 125669,34.086999999999996,-118.473699,0.1,91.44,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,21,fc48c4f1-ff4a-41ff-93a9-6fe2e021827f
39, 128574,MVZ,MVZ 128574,34.2523521,-117.07696200000001,1.349,1981.2,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,1c9144e5-3e04-415d-91ee-90a9d6a27e34
40, 128575,MVZ,MVZ 128575,38.151055,-120.01367900000001,8.0467,1828.8000000000002,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,539ae2a8-d08b-45ae-8fc0-b7889c241d11
41, 13022,MVZ,MVZ 13022MVZ 13022,41.3783019,-122.825497,2.5878,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,8ddab220-097c-4df3-ba43-3bf8ac55daf3
42, 13027,MVZ,MVZ 13027,41.2275573,-122.38205900000001,0.415,1656.2832,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,e9357ad4-2b0a-4f7f-9a67-a2469029d579
43, 13028,MVZ,MVZ 13028,41.2275573,-122.38205900000001,0.415,1656.2832,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,50693440-dc49-4de2-a349-723ca31852ec
44, 132595,MVZ,MVZ 132595,39.490667200000004,-122.688926,4.09,426.72,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,25,5affb18f-9c16-4b7a-961f-ef37c3756581
45, 132596,MVZ,MVZ 132596,39.5128001,-123.079466,0.043,1676.4,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,f2c0c29d-1b54-4024-b345-64bb5503fbad
46, 13855,MVZ,MVZ 13855MVZ 13855,37.630297,-121.51368799999999,3.219,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,23,9bb5fb9b-3b25-40ce-aba8-7426d3b3848c
47, 13856,MVZ,MVZ 13856MVZ 13856,36.95177,-119.692108,1.207,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,9ff34fa7-485e-47d6-8629-10b0fa62b4cf
48, 13857,MVZ,MVZ 13857,37.217068,-119.90473200000001,0.80467,286.512,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,385bf075-9546-4ef8-bf8b-fc83199e627f
49, 13858,MVZ,MVZ 13858,37.217068,-119.90473200000001,0.80467,286.512,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,20,11277070-8ff5-4d4a-b5c0-c7f803edff25
50, 13861,MVZ,MVZ 13861MVZ 13861MVZ 13861,36.059519,-119.31074,0.402,79.248,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,5443b7f0-ce1a-4d0c-8fea-d809bac9766f
51, 13862,MVZ,MVZ 13862,36.059519,-119.31074,0.402,79.248,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,bb981dec-ad1e-4e04-86b2-def45e58bb16
52, 138949,MVZ,MVZ 138949MVZ 138949,39.7601184,-121.77806000000001,1.308,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,33,1a163908-7335-4017-9838-a8eeb13ae999
53, 138950,MVZ,MVZ 138950MVZ 138950,39.608139,-121.952233,0.484,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,28,7fd6510a-b37c-4602-88c0-35dac3b8adc8
54, 138953,MVZ,MVZ 138953MVZ 138953,40.0206377,-122.01965600000001,6.278,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,30,0e087c2c-d2fc-427e-a701-bc5851acea16
55, 138956,MVZ,MVZ 138956MVZ 138956,40.2963235,-122.30326200000002,3.735,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,4b78db68-f07b-4cb8-ac67-98430a2ea9e2
56, 138957,MVZ,MVZ 138957MVZ 138957,40.07522,-122.10795,7.854,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,dab59c30-5d96-41b9-9f95-963f6e040dd1
57, 138958,MVZ,MVZ 138958MVZ 138958,40.73111,-122.94083,1.932781,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,28,4eb23e78-f0a8-4382-9766-df6ac2343081
58, 138959,MVZ,MVZ 138959MVZ 138959,39.10553,-121.53687,0.386,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,29,6b958c2e-51a2-4d9f-b439-d2438333be96
59, 138961,MVZ,MVZ 138961MVZ 138961,39.1488,-121.568,0.7559999999999999,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,29,8e9403fc-3697-4b52-9971-3e630ffe0555
60, 138965,MVZ,MVZ 138965MVZ 138965,39.932404999999996,-121.059853,1.609,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,3f7b10cf-d3a5-4e72-a27b-6ec3f3830e77
