,catalogNumber,collectionCode,decimalLatitude,decimalLongitude,verbatimEventDate,institutionCode,verbatimAgeValue,ageValue,ageUnit,verbatimLocality,sex,scientificName,yearCollected,measurementUnit,measurementType,measurementValue,materialSampleID
32,61163,Mammals,35.50028,-89.20833,10/16/1988,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1988,g,body mass,23586.8,ba82cca7-b0d1-447d-98ac-c894bc9035d4
33,61158,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,g,body mass,14514.96,4bf88dc5-746a-453e-978a-24879b3e342a
34,61138,Mammals,35.50028,-89.20833,10/19/1991,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,23133.21,820e2e92-62c4-40fd-89b7-16df3e26cc4e
35,61167,Mammals,35.50028,-89.20833,10/15/1988,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1988,g,body mass,21772.44,8053d08c-0d88-4664-997a-da2e7622025b
36,62077,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,20865.25,d6299eef-2cf3-459c-a87e-5c23f30ddad6
37,60149,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,g,body mass,14061.36,904c4e05-4ef3-4f8e-9e66-49468937a7a9
38,61042,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,17690.1,30ff8ce5-2d4a-491e-8a61-61bb58fe8578
39,60154,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,g,body mass,20411.66,1fecb6eb-c2cd-4906-86fa-2ca736f6d030
40,61116,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,g,body mass,23133.21,d13e3109-0085-4c1f-8504-5f375bdccba0
41,61106,Mammals,35.50028,-89.20833,10/21/1989,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,g,body mass,14968.55,26512b6a-b87d-4a69-ab2e-e87d79b702ce
42,61041,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,g,body mass,19958.07,ee108c06-a16d-4a26-a336-558133ab3d9f
