,catalogNumber,individualID,collectionCode,decimalLatitude,decimalLongitude,verbatimEventDate,institutionCode,verbatimAgeValue,ageValue,ageUnit,verbatimLocality,sex,scientificName,yearCollected,measurementUnit,measurementType,measurementValue,diagnosticID
24,18211,MammalsTTU18211,Mammals,17.744440100000002,-64.6041718,10/3/1972,TTU,,,,TURNERS HOLE ESTATE,male,Odocoileus virginianus,1972,g,body mass,18144.0,b2dd35d1-d74c-48f2-983d-bd140ed4a4c9
25,61034,MammalsOMNH61034,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,19504.47,c93ef2d8-4c94-4dc4-838f-62bd1104d441
26,18215,MammalsTTU18215,Mammals,,,10/19/1972,TTU,,,,YELLOW CLIFF ESTATE,female,Odocoileus virginianus,1972,g,body mass,29484.0,0102af3d-a398-48e9-b0a3-d9765c4eb6e6
27,61134,MammalsOMNH61134,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1991,g,body mass,14514.96,43fdc742-1ded-48d2-8965-4d136a9d0bdd
28,61198,MammalsOMNH61198,Mammals,35.50028,-89.20833,10/21/1990,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,g,body mass,19504.47,8ab8e0eb-598f-4692-a546-7aac3a2ce8af
29,62214,MammalsOMNH62214,Mammals,35.50028,-89.20833,10/24/1987,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1987,g,body mass,19958.07,b14d68d9-1c08-41f4-8f64-de9d72f514cd
30,61128,MammalsOMNH61128,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,g,body mass,22226.03,3d3eabf2-6121-4476-b006-78a722d75205
31,63504,MammalsOMNH63504,Mammals,35.50028,-89.20833,10/17/1987,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1987,g,body mass,23133.21,b33790a8-b211-4844-95a1-f36331fb3545
32,61163,MammalsOMNH61163,Mammals,35.50028,-89.20833,10/16/1988,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1988,g,body mass,23586.8,0996184d-bfd1-4e92-80a2-bfc94474bb8b
33,61158,MammalsOMNH61158,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,g,body mass,14514.96,e529a7c0-1c25-4b63-8d05-118901fd0957
34,61138,MammalsOMNH61138,Mammals,35.50028,-89.20833,10/19/1991,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,23133.21,a3877fbc-21f6-42f8-9d61-fddc6aa664f3
35,61167,MammalsOMNH61167,Mammals,35.50028,-89.20833,10/15/1988,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1988,g,body mass,21772.44,3fa4eeb4-3bd0-41a2-b089-3c3e0dce3192
36,62077,MammalsOMNH62077,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,20865.25,892f3e63-c4bc-4a7e-ae9a-cee45085b3bb
37,60149,MammalsOMNH60149,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,g,body mass,14061.36,af5da036-7a55-4a7d-bd33-3afb1af166a1
38,61042,MammalsOMNH61042,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,17690.1,ac505725-2977-4141-bc3f-d50bf7801130
39,60154,MammalsOMNH60154,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,g,body mass,20411.66,90460fea-8e72-48f0-a594-d2e5665843b7
40,61116,MammalsOMNH61116,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,g,body mass,23133.21,7941d966-7be0-4ee3-abce-bbe4c294988e
41,61106,MammalsOMNH61106,Mammals,35.50028,-89.20833,10/21/1989,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,g,body mass,14968.55,ca94575b-4fa3-4907-9664-addb1539e89e
42,61041,MammalsOMNH61041,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,g,body mass,19958.07,069f91e1-ef4a-4129-a9c6-7bee35f85b17
43,62004,MammalsOMNH62004,Mammals,35.50028,-89.20833,10/24/1987,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1987,g,body mass,20411.66,945bd0b4-6e60-412c-8910-1b2ad3ef85bf
44,62074,MammalsOMNH62074,Mammals,35.50028,-89.20833,10/25/1992,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,g,body mass,14061.36,9f4f930b-947f-407f-a14e-58d72cfee8c6
45,62236,MammalsOMNH62236,Mammals,35.50028,-89.20833,10/18/1986,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1986,g,body mass,13607.77,e421112f-ad94-480b-a0bb-c36e703e01bb
46,63503,MammalsOMNH63503,Mammals,35.50028,-89.20833,10/17/1987,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1987,g,body mass,19504.47,3cdae4a0-1c40-4bc9-a03b-d34fc6985ea7
47,60146,MammalsOMNH60146,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,g,body mass,20865.25,403e33d1-57de-43a0-abb4-607b572e01ff
48,18194,MammalsTTU18194,Mammals,17.7655602,-64.8816681,8/3/1972,TTU,,,,CALIDONIA ESTATE,female,Odocoileus virginianus,1972,g,body mass,26309.0,6279be07-562f-4178-b2a3-7c34c4dbc7c5
49,61159,MammalsOMNH61159,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,g,body mass,16329.33,014cd00d-bfe4-4992-a490-8200808edaca
50,62276,MammalsOMNH62276,Mammals,35.50028,-89.20833,10/18/1986,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1986,g,body mass,21318.84,21a2e24c-de5c-4825-8d0a-636e61ab15f0
51,60165,MammalsOMNH60165,Mammals,35.50028,-89.20833,10/27/1990,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,g,body mass,26308.36,4d2b7962-9a88-4b4a-8e24-c7b2931e08e9
52,62053,MammalsOMNH62053,Mammals,35.50028,-89.20833,10/21/1989,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,g,body mass,23133.21,641dc711-551f-4475-8b5c-b8b93e7a38a6
53,61064,MammalsOMNH61064,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,1.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,g,body mass,57606.23,15ff29b0-d47a-491c-a9ed-567d53e0662c
54,61100,MammalsOMNH61100,Mammals,35.50028,-89.20833,10/28/1989,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,g,body mass,15875.73,aa87b46a-4720-4754-b03b-7ca104a4cebb
55,60163,MammalsOMNH60163,Mammals,35.50028,-89.20833,10/21/1989,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,g,body mass,22226.03,abfd1230-77c8-4cf4-be56-d615cafa6f3f
56,61016,MammalsOMNH61016,Mammals,35.50028,-89.20833,10/28/1989,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,g,body mass,11793.4,1f4f54e3-5544-44a4-81fb-b1634df82020
57,62289,MammalsOMNH62289,Mammals,35.50028,-89.20833,10/17/1987,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1987,g,body mass,20411.66,03e1b0b6-eaae-4526-9dbc-1c64f3ddb806
58,61170,MammalsOMNH61170,Mammals,35.50028,-89.20833,10/23/1988,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1988,g,body mass,23586.8,555f9802-f520-43ca-bed1-1dd85e54cd73
59,61173,MammalsOMNH61173,Mammals,35.50028,-89.20833,10/23/1988,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1988,g,body mass,21318.84,6e0bc4a7-c6e4-4e6c-b1f2-7b787505ac32
60,61020,MammalsOMNH61020,Mammals,35.50028,-89.20833,10/22/1989,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1989,g,body mass,22226.03,e15f253d-986e-4cb5-956b-bc5363dc8582
61,61103,MammalsOMNH61103,Mammals,35.50028,-89.20833,10/22/1989,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1989,g,body mass,23586.8,6e84df6b-3e00-48f0-88b4-fa5c42f6f566
62,61121,MammalsOMNH61121,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,g,body mass,23586.8,501de528-5d25-469d-8360-290672994b6b
63,62073,MammalsOMNH62073,Mammals,35.50028,-89.20833,10/25/1992,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,g,body mass,13607.77,07169bcf-0542-4c10-9998-08c356e9b2ed
64,60161,MammalsOMNH60161,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1991,g,body mass,24040.4,4234809b-3b96-489d-9b59-304b0b80c03a
65,62251,MammalsOMNH62251,Mammals,35.50028,-89.20833,10/28/1990,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1990,g,body mass,21772.44,6500800b-7f80-45cc-b183-f663f767d4e0
66,61008,MammalsOMNH61008,Mammals,35.50028,-89.20833,10/21/1989,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1989,g,body mass,14968.55,467dd359-665a-40db-ac18-73fa4252e2bc
67,61166,MammalsOMNH61166,Mammals,35.50028,-89.20833,10/23/1988,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1988,g,body mass,22226.03,87cca039-9b69-4f57-836c-7ed436b6f537
68,65314,MammalsOMNH65314,Mammals,35.50028,-89.20833,10/27/1991,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,20411.66,2c0ec2c3-d855-4465-bacf-1b167dfa650c
69,62058,MammalsOMNH62058,Mammals,35.50028,-89.20833,10/27/1990,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1990,g,body mass,21318.84,bdf8eb63-5ad3-4ef3-9c89-84d8c1940266
70,61131,MammalsOMNH61131,Mammals,35.50028,-89.20833,10/25/1992,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,g,body mass,26308.36,1ba9a8d9-29b9-4a7a-a591-3f23f1b8b74a
71,60155,MammalsOMNH60155,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,g,body mass,21772.44,480eaa3e-1d77-45b0-8914-7fec814a0488
72,61119,MammalsOMNH61119,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1990,g,body mass,22679.62,267242cb-99d0-43e3-92cc-538154bbeae4
73,60194,MammalsOMNH60194,Mammals,35.50028,-89.20833,10/21/1989,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,g,body mass,19958.07,fde84c33-81ae-44e7-bc75-a6a146065dd4
74,61051,MammalsOMNH61051,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,g,body mass,25854.77,fc3b6051-bf16-416f-8bbf-e445af31a122
75,61011,MammalsOMNH61011,Mammals,35.50028,-89.20833,10/22/1989,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1989,g,body mass,19958.07,417f2dcc-2d01-4b79-803e-82499832accb
76,18203,MammalsTTU18203,Mammals,17.7408295,-64.8613892,6/3/1972,TTU,,,,OXFORD ESTATE,female,Odocoileus virginianus,1972,g,body mass,24494.0,6977847f-6cbb-480a-9879-ec9c5b705c00
77,61143,MammalsOMNH61143,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,19958.07,5085244b-179b-4977-a240-c7553e2abad0
