,institutionCode,collectionCode,catalogNumber,measurementSide,measurementType,scientificName,decimalLatitude,decimalLongitude,locality,verbatimLocality,basisOfRecord,measurementValue,measurementUnit,lithostratigraphicTerms,formation,member,references,materialSampleID,diagnosticID
685,KU,,43306,right,P3 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,25.65,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,2d7be6ce-b3fa-453d-96a6-b620096d8b95
686,KU,,43306,right,P3 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.90,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,7f4a4901-8e5d-45f8-ba54-5da07515f3fd
687,KU,,36456,left,P3 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,27.09,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,baacc3b8-1246-4e2c-9137-4b1188f37dd9
688,KU,,36456,left,P3 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,27.15,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,38af45ca-8d19-438c-9839-7175b81ba023
689,KU,,38844,left,P3 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,25.11,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,154bcb61-4533-446e-b037-1f2e93a747ed
690,KU,,38844,left,P3 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.58,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,74b6332c-fa5f-40ec-8af6-43ec0174a68d
691,KU,,38519,right,P4 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,23.80,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,1ea5b613-0298-4b3e-a980-e34ce7132465
692,KU,,38519,right,P4 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,25.97,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,ea355737-cd4a-44e1-bd09-ddfc37d73ea9
693,KU,,38193,left,P3 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.80,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,c9655253-3786-41e6-bb88-bce6b80b52fe
694,KU,,38193,left,P3 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.53,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,f3eb01bb-ce0f-4485-b39e-edf62957e296
