institutionCode	collectionCode	specimenID	specimenType	side	aggregated data	scientificName	decimalLatitude	decimalLongitude	precision	sitename	verbatimLocality	collectionDate (verbatimEventDate)	basisOfRecord	sex	measurementType	measurementValue	measurementUnit	measurementMethod	minimumChronometricAge	minimumChronometricAgeReferenceSystem	maximumChronometricAge	maximumChronometricAgeReferenceSystem	chronometricAgeProtocol	chronometricAgeUncertaintyMethod	chronometricAgeUncertaintyInYears	lithostratigraphicTerms	group	formation	member	bed	ContextName	CulturalStratigraphy: cultural region	CulturalStratigraphy: culture	CulturalStratigraphy: occupation period (aka chronology)	CulturalStratigraphy: local chronology			collection event = locality & collection date	way to separate paleo from modern?	references
Museum of the city of Las Flores	Col. HGC	7	m2 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length of the postflexid	6.8	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	7	m3 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length	29.0	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	7	m3 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal breadth	13.9	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	7	m3 	right		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length of the postflexid	8.3	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	7	p2 	left		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length	29.0	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	7	p2 	left		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal breadth	16.4	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	7	p3 	left		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length	27.1	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	7	p3 	left		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal breadth	17.9	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	7	p3 	left		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length of the postflexid	11.0	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
Museum of the city of Las Flores	Col. HGC	7	p4 	left		Equus neogeus	35S	58W		Salado River	"Buenos Aires Province, Argentina"		fossil		occlusal length	25.5	millimeters									Pleistocene		Luján Formation	Río Salado Member											"Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138."
