"materialSampleID","sitename","verbatimEventDate","sex","measurementSide","verbatimLocality","scientificName","measurementValue","minimumChronometricAge","maximumChronometricAge","measurementType","individualID","measurementUnit","observationID"
"HoIII","","","unknown","left","new","Hippotherium primigeneium",0,"10.3",NA,"{length line trochlea of humerus to caput of humerus}","HoIII","mm","8b8bba65-53bc-438a-bb1f-293c70dca539"
"HoIII","","","unknown","right","new","Hippotherium primigeneium",0,"10.3",NA,"{length line trochlea of humerus to caput of humerus}","HoIII","mm","9aa6eaa8-354c-483b-ac16-9b33b6d380d5"
"HoT56","","","unknown","left","new","Hippotherium primigeneium",282.8,"10.3",NA,"{length line trochlea of humerus to caput of humerus}","HoT56","mm","bb369527-4a82-41cb-beb2-12b6a2c4930f"
"HoT5634","","","unknown","left","new","Hippotherium primigeneium",370,"10.3",NA,"{length line of medial condyle of femur to greater trochanter}","HoT5634","mm","4f059461-b852-48bb-85d9-2558b03c8b64"
"HoV5871","","","female","left","new","Hippotherium primigeneium",0,"10.3",NA,"{length line of medial condyle of femur to greater trochanter}","HoV5871","mm","8669b7e9-0e45-4e24-8041-9dfccccb0c0f"
"HoY59194","","","unknown","right","new","Hippotherium primigeneium",335,"10.3",NA,"{length line of medial condyle of femur to greater trochanter}","HoY59194","mm","76b9ecc3-b28e-4088-b97b-6511d70c1e5f"
"HoY59195","","","unknown","left","new","Hippotherium primigeneium",0,"10.3",NA,"{length line of medial condyle of femur to greater trochanter}","HoY59195","mm","f209e591-dcec-42c1-bca2-420fd33982ea"
"HoY5954","","","unknown","right","new","Hippotherium primigeneium",254.5,"10.3",NA,"{length line trochlea of humerus to caput of humerus}","HoY5954","mm","9c59bf52-b52b-4281-9f87-8d88eeb23371"
"HoY5955","","","unknown","left","new","Hippotherium primigeneium",0,"10.3",NA,"{length line trochlea of humerus to caput of humerus}","HoY5955","mm","a7df35dc-fd57-4b32-8962-68a8cb3f1f9a"
"DD121","","","unknown","norecord","new","Hippotherium primigeneium",0,"10.0",NA,"{length line trochlea of humerus to caput of humerus}","DD121","mm","9f436b2a-35db-4fdd-b037-556d30770259"
"DD2920","","","unknown","norecord","new","Hippotherium primigeneium",0,"10.0",NA,"{length line trochlea of humerus to caput of humerus}","DD2920","mm","d7552e00-a187-4076-b9ae-7b40b96eb64d"
"DD4189","","","unknown","norecord","new","Hippotherium primigeneium",0,"10.0",NA,"{length line trochlea of humerus to caput of humerus}","DD4189","mm","ac5aad84-0d14-4911-b206-5f9b6411ff5e"
