id,title,filestore_file_name,embargo_y_n,fuzz_location_y_n,attribution_text,doi,indexed_y_n
1,ray horses,ray_data.csv,n,n,insert citation here,,n
2,kitty archaeology data,kitty_data.csv,n,n,insert citation here,,n
